date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:19:38	129/129	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Jul%202024%2023:58:16%20GMT	https://tamalsen.dev/robots.txt		(from )
12:19:39	136615/136615	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Mar%202024%2008:23:24%20GMT	https://tamalsen.dev/	D:/new-22-24/tamalsen.dev/index.html	(from )
12:19:39	1600400/1600400	---MCZ	200	added ('OK')	text/css	etag:W/%226695ab3c-186b90%22	https://tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_4495385686853ab78c48d1389e3a5aa0.css	D:/new-22-24/tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_4495385686853ab78c48d1389e3a5aa0.css	(from https://tamalsen.dev/)
12:19:39	64962/64962	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-fdc2%22	https://tamalsen.dev/wp-content/uploads/2021/11/tamalsen.dev-link-preview.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/tamalsen.dev-link-preview.jpg	(from https://tamalsen.dev/)
12:19:40	162/162	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2022%20Jul%202024%2016:19:43%20GMT	https://tamal.dev/wp-content/uploads/2019/10/oh__img100_small.jpg	D:/new-22-24/tamal.dev/wp-content/uploads/2019/10/oh__img100_small.2.delayed	(from https://tamalsen.dev/)
12:19:40	734/734	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dcc3618f6a37c0aa808c828a9f680d9f-gzip%22	https://tamalsen.dev/comments/feed/	D:/new-22-24/tamalsen.dev/comments/feed/index.html	(from https://tamalsen.dev/)
12:19:40	1762/1762	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22dcc3618f6a37c0aa808c828a9f680d9f-gzip%22	https://tamalsen.dev/feed/	D:/new-22-24/tamalsen.dev/feed/index.html	(from https://tamalsen.dev/)
12:19:40	53745/53745	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-d1f1%22	https://tamalsen.dev/wp-content/uploads/2019/10/oh__img100_small.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2019/10/oh__img100_small.jpg	(from https://tamalsen.dev/)
12:19:40	1491/1491	---MCZ	200	added ('OK')	text/css	etag:W/%226654d885-5d3%22	https://tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_e2468ba530df7b96269ff011844df98c.css	D:/new-22-24/tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_e2468ba530df7b96269ff011844df98c.css	(from https://tamalsen.dev/)
12:19:40	28499/28499	---MCZ	200	added ('OK')	text/css	etag:W/%226654d885-6f53%22	https://tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_6bf89b1854212e67a321dba0bb861f69.css	D:/new-22-24/tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_6bf89b1854212e67a321dba0bb861f69.css	(from https://tamalsen.dev/)
12:19:41	5137/5137	---MCZ	200	added ('OK')	text/css	etag:W/%226654d885-1411%22	https://tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_117d76745cfd1b197ab4e45a13c89682.css	D:/new-22-24/tamalsen.dev/wp-content/cache/autoptimize/css/autoptimize_single_117d76745cfd1b197ab4e45a13c89682.css	(from https://tamalsen.dev/)
12:19:41	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264ecd5ef-15601%22	https://tamalsen.dev/wp-includes/js/jquery/jquery.min.js	D:/new-22-24/tamalsen.dev/wp-includes/js/jquery/jquery.min.js	(from https://tamalsen.dev/)
12:19:42	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2022%20Jul%202024%2016:19:45%20GMT	http://www.googletagmanager.com/gtm.js?id=	D:/new-22-24/www.googletagmanager.com/gtm.95445.delayed	(from https://tamalsen.dev/)
12:19:42	787/787	---MCZ	200	added ('OK')	text/xml	date:Mon,%2022%20Jul%202024%2016:19:45%20GMT	https://tamalsen.dev/xmlrpc.php?rsd	D:/new-22-24/tamalsen.dev/xmlrpc0db0.php	(from https://tamalsen.dev/)
12:19:42	770/770	---M--	200	added ('OK')	image/png	etag:%2261b38222-304%22	https://tamalsen.dev/wp-content/uploads/2021/07/quote-icon.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/07/quote-icon.png	(from https://tamalsen.dev/)
12:19:42	90781/90781	---M--	200	added ('OK')	image/png	etag:%2261b38222-16329%22	https://tamalsen.dev/wp-content/uploads/2021/12/hello-world-html-code-768x384.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/12/hello-world-html-code-768x384.png	(from https://tamalsen.dev/)
12:19:42	292/292	---M--	200	added ('OK')	image/png	etag:%2261b38222-18b%22	https://tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-32x32.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-32x32.png	(from https://tamalsen.dev/)
12:19:43	1132/1132	---M--	200	added ('OK')	image/png	etag:%2261b38222-49d%22	https://tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-192x192.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-192x192.png	(from https://tamalsen.dev/)
12:19:43	9773/9773	---M--	200	added ('OK')	image/png	etag:%2261b38222-262d%22	https://tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-180x180.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/cropped-favicon-180x180.png	(from https://tamalsen.dev/)
12:19:43	904/904	---M--	200	added ('OK')	image/png	etag:%2261b38222-91b%22	https://tamalsen.dev/wp-content/uploads/2021/06/tamalsen_logo-light.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/06/tamalsen_logo-light.png	(from https://tamalsen.dev/)
12:19:43	919/919	---M--	200	added ('OK')	image/png	etag:%2261b38222-948%22	https://tamalsen.dev/wp-content/uploads/2021/06/tamalsen_logo-dark.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/06/tamalsen_logo-dark.png	(from https://tamalsen.dev/)
12:19:44	8458/8458	---M--	200	added ('OK')	image/png	etag:%2261b38222-37f2%22	https://tamalsen.dev/wp-content/uploads/2021/07/right-side-arrow.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/07/right-side-arrow.png	(from https://tamalsen.dev/)
12:19:44	49662/49662	---M--	200	added ('OK')	image/png	etag:%2261b38222-cbc4%22	https://tamalsen.dev/wp-content/uploads/2021/10/tryotel-animation-poster-test.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/tryotel-animation-poster-test.png	(from https://tamalsen.dev/)
12:19:44	100523/100523	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-1cf95%22	https://tamalsen.dev/wp-content/uploads/2021/11/flighlocal-cover-image.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/flighlocal-cover-image.jpg	(from https://tamalsen.dev/)
12:19:44	117012/117012	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-22919%22	https://tamalsen.dev/wp-content/uploads/2021/11/ailabgranada.com-poster.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/ailabgranada.com-poster.jpg	(from https://tamalsen.dev/)
12:19:45	204351/204351	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-33d01%22	https://tamalsen.dev/wp-content/uploads/2021/07/tryotel_ios_mockup-scaled.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/07/tryotel_ios_mockup-scaled.jpg	(from https://tamalsen.dev/)
12:19:45	72877/72877	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-134a0%22	https://tamalsen.dev/wp-content/uploads/2021/10/khora-urban-thinkers-poster-r.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/khora-urban-thinkers-poster-r.jpg	(from https://tamalsen.dev/)
12:19:45	121178/121178	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-20902%22	https://tamalsen.dev/wp-content/uploads/2021/10/tapy-co-poster.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/tapy-co-poster.jpg	(from https://tamalsen.dev/)
12:19:46	76244/76244	---MCZ	200	added ('OK')	text/html	date:Wed,%2031%20Aug%202022%2015:45:29%20GMT	https://tamalsen.dev/project/tryotel-cross-platform-travel-app/	D:/new-22-24/tamalsen.dev/project/tryotel-cross-platform-travel-app/index.html	(from https://tamalsen.dev/)
12:19:47	86339/86339	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-172a0%22	https://tamalsen.dev/wp-content/uploads/2021/10/walkerip-com-poster.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/walkerip-com-poster.jpg	(from https://tamalsen.dev/)
12:19:47	76545/76545	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2004:45:00%20GMT	https://tamalsen.dev/project/flight-local/	D:/new-22-24/tamalsen.dev/project/flight-local/index.html	(from https://tamalsen.dev/)
12:19:47	90422/90422	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-1ace3%22	https://tamalsen.dev/wp-content/uploads/2021/11/tryotel-b2c-cover.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/tryotel-b2c-cover.jpg	(from https://tamalsen.dev/)
12:19:47	113654/113654	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-1d7a7%22	https://tamalsen.dev/wp-content/uploads/2021/10/kananaskis-nordic-spa-poster.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/kananaskis-nordic-spa-poster.jpg	(from https://tamalsen.dev/)
12:19:48	57566/57566	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-10005%22	https://tamalsen.dev/wp-content/uploads/2021/10/ahigherthought.com-poster.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/10/ahigherthought.com-poster.jpg	(from https://tamalsen.dev/)
12:19:48	99931/99931	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202024%2016:19:51%20GMT	https://tamalsen.dev/portfolio-category/web-dev/	D:/new-22-24/tamalsen.dev/portfolio-category/web-dev/index.html	(from https://tamalsen.dev/)
12:19:48	75337/75337	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2012:52:40%20GMT	https://tamalsen.dev/project/ai-lab-granada/	D:/new-22-24/tamalsen.dev/project/ai-lab-granada/index.html	(from https://tamalsen.dev/)
12:19:48	76259/76259	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2014:41:29%20GMT	https://tamalsen.dev/project/khora-urban-thinkers/	D:/new-22-24/tamalsen.dev/project/khora-urban-thinkers/index.html	(from https://tamalsen.dev/)
12:19:48	116276/116276	---M--	200	added ('OK')	image/jpeg	etag:%2261b38222-203e2%22	https://tamalsen.dev/wp-content/uploads/2021/11/all-the-roads-of-chittagong-cover.jpg	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/all-the-roads-of-chittagong-cover.jpg	(from https://tamalsen.dev/)
12:19:49	8302/8302	---M--	200	added ('OK')	image/png	etag:%2261b38222-3109%22	https://tamalsen.dev/wp-content/uploads/2021/07/SG-logo@2x.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/07/SG-logo@2x.png	(from https://tamalsen.dev/)
12:19:49	19138/19138	---M--	200	added ('OK')	image/png	etag:%2261b38222-5f0e%22	https://tamalsen.dev/wp-content/uploads/2021/11/influencethis-logo-265px.png	D:/new-22-24/tamalsen.dev/wp-content/uploads/2021/11/influencethis-logo-265px.png	(from https://tamalsen.dev/)
12:19:50	75635/75635	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Nov%202021%2013:03:54%20GMT	https://tamalsen.dev/project/tapy/	D:/new-22-24/tamalsen.dev/project/tapy/index.html	(from https://tamalsen.dev/)
